id,lon,lat
337,-118.8463396,39.45466221
338,-118.8437714,39.45636905
339,-118.8404281,39.45384591
340,-118.8393679,39.4581574
341,-118.8410454,39.45951255
342,-118.841627,39.45858529
343,-118.8416022,39.45754979
344,-118.8415728,39.45661384
345,-118.8403536,39.45555871
346,-118.8436141,39.45181774
347,-118.8399724,39.45090816
348,-118.8450681,39.45028072
349,-118.8403828,39.44714561
350,-118.8457394,39.44872991
351,-118.8435272,39.44803804
352,-118.8442636,39.44660451
353,-118.846245,39.44784009
354,-118.8631896,39.48194311
355,-118.8595546,39.48100609
356,-118.8534672,39.48002472
357,-118.8551968,39.4771804
358,-118.8701563,39.47332456
359,-118.872518,39.47552349
361,-118.8733546,39.47324438
362,-118.8720646,39.46969674
363,-118.8747405,39.46984755
364,-118.8588606,39.47313485
365,-118.8586184,39.47167112
366,-118.860354,39.47204549
367,-118.8547432,39.47027269
368,-118.8513081,39.47330617
369,-118.8506077,39.47330664
370,-118.8509635,39.47241772
371,-118.8516384,39.47230573
372,-118.8507119,39.47139809
373,-118.850152,39.47235419
374,-118.8485742,39.47189693
375,-118.8465225,39.47165818
376,-118.8452361,39.47150457
377,-118.8455226,39.47256545
378,-118.8787052,39.46572231
379,-118.8783202,39.46676567
380,-118.8764195,39.46597107
381,-118.8785027,39.46427036
382,-118.874552,39.46544956
383,-118.8791593,39.46306295
384,-118.8780227,39.46146147
385,-118.8784577,39.4623413
386,-118.8762679,39.46332255
387,-118.8760979,39.46265477
388,-118.8725513,39.46638843
389,-118.8725767,39.4637176
390,-118.8731542,39.45794831
391,-118.8684829,39.46146756
392,-118.8708176,39.465088
393,-118.8694265,39.46468225
394,-118.8706004,39.4668906
395,-118.8675375,39.46400395
396,-118.8671222,39.4632059
397,-118.8676089,39.46584976
398,-118.8685104,39.46796398
399,-118.8687763,39.46936296
400,-118.8661191,39.47115232
401,-118.8667283,39.47296984
402,-118.8641121,39.46919696
403,-118.8625119,39.46907086
404,-118.8595977,39.46652606
406,-118.8538667,39.46712199
407,-118.8562862,39.46736228
408,-118.8558737,39.46594031
409,-118.8499556,39.46533669
410,-118.8435948,39.46564424
411,-118.8461724,39.46649735
412,-118.8456665,39.4646027
413,-118.8399169,39.46344107
414,-118.8412644,39.46188841
415,-118.8421263,39.462803
416,-118.8403982,39.46081585
417,-118.8386551,39.46170339
418,-118.8385158,39.46232495
419,-118.8404705,39.46271378
420,-118.84523,39.46193838
421,-118.8429784,39.46059166
422,-118.8525015,39.46138627
423,-118.856455,39.46234186
424,-118.8556927,39.46225189
425,-118.8547102,39.46190932
426,-118.8605564,39.46307143
427,-118.8583929,39.46185543
428,-118.8609743,39.46092291
429,-118.8601788,39.46115519
430,-118.8638442,39.46541575
431,-118.8656989,39.46541477
432,-118.8643092,39.46174019
433,-118.8583955,39.45818034
434,-118.8599509,39.45912454
435,-118.8627641,39.45855917
437,-118.8653705,39.45698464
438,-118.879625,39.45869412
439,-118.8786371,39.45927481
440,-118.8777317,39.45949678
441,-118.8764813,39.45780779
442,-118.8769037,39.45931525
443,-118.877925,39.45873913
444,-118.8788741,39.45838372
445,-118.8781263,39.45773203
446,-118.8675352,39.44329755
447,-118.869281,39.44477431
448,-118.8683334,39.44158478
449,-118.8702,39.44264984
450,-118.8714905,39.44437427
451,-118.8736453,39.44413416
452,-118.8726025,39.44225765
453,-118.8729066,39.44119943
454,-118.8653002,39.44510222
455,-118.8636166,39.44422235
456,-118.8632157,39.4421467
457,-118.863632,39.44304255
458,-118.8596577,39.43684691
459,-118.8577591,39.43715716
460,-118.8528172,39.43490976
461,-118.8524666,39.43915541
462,-118.8552487,39.4398102
463,-118.8539997,39.43914455
464,-118.8557731,39.44267491
465,-118.8543652,39.44056187
466,-118.8557044,39.44108946
467,-118.8501666,39.4446878
468,-118.8515915,39.44312916
469,-118.8506779,39.44300219
470,-118.8506088,39.44039376
471,-118.8481549,39.43932033
472,-118.8482388,39.44088031
473,-118.8465277,39.44279802
474,-118.8463709,39.44454521
475,-118.8431923,39.44327615
476,-118.840255,39.44145753
477,-118.8444334,39.43980539
478,-118.8415127,39.43314188
479,-118.8434368,39.43233621
480,-118.845831,39.43193939
481,-118.843588,39.43135715
482,-118.8442473,39.43384514
483,-118.8462296,39.43309471
484,-118.8460186,39.43745835
